,age,c_weight,course,date,field,gender,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,trainerA,trainerB,weight,year
20080101010100,2,0,芝1500m,8/16(土),札幌,牝,14頭,ディアジーナ,54.0,四位,4.3,2,1R,２歳未勝利,1,美浦,田村,468,2008.0
20080101010101,2,0,芝1500m,8/16(土),札幌,牡,14頭,アイディンパワー,54.0,藤田,5.2,4,1R,２歳未勝利,2,栗東,本田,460,2008.0
20080101010102,2,+2,芝1500m,8/16(土),札幌,牡,14頭,ウインリーズン,54.0,安藤勝,3.1,1,1R,２歳未勝利,3,美浦,加藤征,442,2008.0
20080101010103,2,-4,芝1500m,8/16(土),札幌,牡,14頭,ヴァンエボン,54.0,小林徹,23.0,8,1R,２歳未勝利,4,栗東,山内,482,2008.0
20080101010104,2,-20,芝1500m,8/16(土),札幌,牝,14頭,ラヴェリータ,54.0,長谷川,21.9,6,1R,２歳未勝利,5,栗東,松元,484,2008.0
20080101010105,2,-4,芝1500m,8/16(土),札幌,牡,14頭,ドリームクェーサー,54.0,池添,4.6,3,1R,２歳未勝利,6,栗東,西浦,452,2008.0
20080101010106,2,-10,芝1500m,8/16(土),札幌,牡,14頭,ヨイチラブソング,52.0,△三浦,10.4,5,1R,２歳未勝利,7,美浦,菅原,464,2008.0
20080101010107,2,-6,芝1500m,8/16(土),札幌,牡,14頭,マキノワールド,54.0,大野,154.0,12,1R,２歳未勝利,8,美浦,土田,446,2008.0
20080101010108,2,-8,芝1500m,8/16(土),札幌,牡,14頭,メジロデューチン,53.0,☆北村友,111.7,11,1R,２歳未勝利,9,美浦,高橋裕,418,2008.0
20080101010109,2,+2,芝1500m,8/16(土),札幌,牡,14頭,スマイルミッキー,54.0,横山典,22.9,7,1R,２歳未勝利,10,栗東,松永幹,474,2008.0
20080101010110,2,0,芝1500m,8/16(土),札幌,牡,14頭,スズカフレーム,54.0,芹沢,81.2,10,1R,２歳未勝利,11,栗東,橋田,462,2008.0
20080101010111,2,-4,芝1500m,8/16(土),札幌,牡,14頭,ヨシインゾーン,54.0,武幸,46.9,9,1R,２歳未勝利,12,美浦,嶋田潤,460,2008.0
20080101010112,2,-2,芝1500m,8/16(土),札幌,牡,14頭,コード,51.0,▲荻野琢,163.7,13,1R,２歳未勝利,13,美浦,高松,466,2008.0
20080101010113,2,+2,芝1500m,8/16(土),札幌,牡,14頭,マイネルヘリオス,54.0,津村,227.4,14,1R,２歳未勝利,14,美浦,粕谷,440,2008.0
20080101010200,3,-4,ダ1000m,8/16(土),札幌,牝,11頭,テイクザスカイ,52.0,△三浦,3.7,2,2R,３歳未勝利,1,美浦,松永康,466,2008.0
20080101010201,3,+6,ダ1000m,8/16(土),札幌,牡,11頭,コアレスカポーテ,56.0,池添,58.9,6,2R,３歳未勝利,2,美浦,池上,476,2008.0
20080101010202,3,+2,ダ1000m,8/16(土),札幌,牝,11頭,バードダムール,54.0,鈴来,7.8,3,2R,３歳未勝利,3,美浦,大和田,444,2008.0
20080101010203,3,+2,ダ1000m,8/16(土),札幌,牝,11頭,ファジーネーブル,54.0,津村,17.8,5,2R,３歳未勝利,4,美浦,小西,438,2008.0
20080101010204,3,0,ダ1000m,8/16(土),札幌,牡,11頭,アスターヘイロー,56.0,秋山,9.6,4,2R,３歳未勝利,5,栗東,加藤敬,466,2008.0
20080101010205,3,-4,ダ1000m,8/16(土),札幌,牝,11頭,アドマイヤアモーレ,54.0,安藤勝,1.6,1,2R,３歳未勝利,6,栗東,橋田,472,2008.0
20080101010206,3,+20,ダ1000m,8/16(土),札幌,牝,11頭,ヤマサエレガント,53.0,☆北村友,97.9,9,2R,３歳未勝利,7,栗東,飯田雄,448,2008.0
20080101010207,3,-8,ダ1000m,8/16(土),札幌,牡,11頭,キングセンプー,56.0,武英,74.6,8,2R,３歳未勝利,8,栗東,山内,468,2008.0
20080101010208,3,-2,ダ1000m,8/16(土),札幌,牝,11頭,アラクネベガ,54.0,大野,70.0,7,2R,３歳未勝利,9,美浦,石毛,422,2008.0
20080101010209,3,0,ダ1000m,8/16(土),札幌,牝,11頭,マイディアダーリン,54.0,河北,196.5,11,2R,３歳未勝利,10,栗東,小野,488,2008.0
20080101010210,3,+8,ダ1000m,8/16(土),札幌,牡,11頭,マンテンテイオー,56.0,芹沢純,143.5,10,2R,３歳未勝利,11,栗東,鹿戸明,466,2008.0
20080101010300,3,-4,ダ1700m,8/16(土),札幌,牝,13頭,フェイドレスシーン,54.0,安藤勝,2.1,1,3R,３歳未勝利,1,栗東,飯田雄,424,2008.0
20080101010301,3,-4,ダ1700m,8/16(土),札幌,牝,13頭,クインマキシマム,54.0,梶,30.2,8,3R,３歳未勝利,2,美浦,矢野照,428,2008.0
20080101010302,3,-2,ダ1700m,8/16(土),札幌,牝,13頭,デルマビーナス,54.0,横山典,2.9,2,3R,３歳未勝利,3,栗東,作田,444,2008.0
20080101010303,3,+6,ダ1700m,8/16(土),札幌,牝,13頭,ジェイケイクリス,52.0,△三浦,8.2,3,3R,３歳未勝利,4,美浦,坂本,466,2008.0
20080101010304,3,+8,ダ1700m,8/16(土),札幌,牝,13頭,セイントプラチナ,54.0,津村,13.0,4,3R,３歳未勝利,5,美浦,相沢,444,2008.0
20080101010305,3,+2,ダ1700m,8/16(土),札幌,牝,13頭,アルカイクスマイル,54.0,古川,21.7,5,3R,３歳未勝利,6,栗東,藤原英,440,2008.0
20080101010306,3,-4,ダ1700m,8/16(土),札幌,牝,13頭,レッドウッド,54.0,藤田,31.2,9,3R,３歳未勝利,7,美浦,菊川,496,2008.0
20080101010307,3,+8,ダ1700m,8/16(土),札幌,牝,13頭,シシャモフレンド,54.0,小原,61.6,10,3R,３歳未勝利,8,栗東,小原,486,2008.0
20080101010308,3,+20,ダ1700m,8/16(土),札幌,牝,13頭,ウエスタンサマンサ,54.0,長谷川,254.6,13,3R,３歳未勝利,9,美浦,斎藤宏,464,2008.0
20080101010309,3,+6,ダ1700m,8/16(土),札幌,牝,13頭,チェスナットシチー,54.0,大野,29.6,7,3R,３歳未勝利,10,栗東,崎山,440,2008.0
20080101010310,3,+18,ダ1700m,8/16(土),札幌,牝,13頭,エリザベートクロス,54.0,秋山,132.8,11,3R,３歳未勝利,11,栗東,増本,472,2008.0
20080101010311,3,+8,ダ1700m,8/16(土),札幌,牝,13頭,クレージーエッグ,51.0,▲荻野琢,199.0,12,3R,３歳未勝利,12,美浦,西塚,428,2008.0
20080101010312,3,+8,ダ1700m,8/16(土),札幌,牝,13頭,ブライティアカイト,54.0,松田,27.0,6,3R,３歳未勝利,13,栗東,羽月,474,2008.0
20080101010400,2,0,芝1500m,8/16(土),札幌,牡,14頭,アグネスクイック,52.0,△三浦,3.6,2,4R,２歳新馬,1,美浦,河野,516,2008.0
20080101010401,2,0,芝1500m,8/16(土),札幌,牡,14頭,カネトシコウショウ,54.0,秋山,116.8,13,4R,２歳新馬,2,栗東,中村,468,2008.0
20080101010402,2,0,芝1500m,8/16(土),札幌,牝,14頭,ジェルミナル,54.0,武幸,10.2,4,4R,２歳新馬,3,栗東,藤原英,466,2008.0
20080101010403,2,0,芝1500m,8/16(土),札幌,牝,14頭,オーシャンロード,54.0,藤田,2.2,1,4R,２歳新馬,4,栗東,昆,454,2008.0
20080101010404,2,0,芝1500m,8/16(土),札幌,牡,14頭,ガリアーノ,54.0,池添,19.5,7,4R,２歳新馬,5,栗東,池添,442,2008.0
20080101010405,2,0,芝1500m,8/16(土),札幌,牝,14頭,ピロートーク,54.0,横山典,40.0,11,4R,２歳新馬,6,美浦,藤原辰,412,2008.0
20080101010406,2,0,芝1500m,8/16(土),札幌,牡,14頭,ババロア,54.0,四位,18.4,5,4R,２歳新馬,7,栗東,浅見,472,2008.0
20080101010407,2,0,芝1500m,8/16(土),札幌,牡,14頭,マイネルロワイヤル,54.0,津村,30.4,9,4R,２歳新馬,8,栗東,中村,452,2008.0
20080101010408,2,0,芝1500m,8/16(土),札幌,牡,14頭,プラネットクルーズ,54.0,長谷川,26.8,8,4R,２歳新馬,9,栗東,松永幹,454,2008.0
20080101010409,2,0,芝1500m,8/16(土),札幌,牝,14頭,レティセラ,54.0,安藤勝,8.7,3,4R,２歳新馬,10,栗東,松田博,400,2008.0
20080101010410,2,0,芝1500m,8/16(土),札幌,牡,14頭,タイセイラプター,54.0,芹沢純,217.9,14,4R,２歳新馬,11,栗東,新川,472,2008.0
20080101010411,2,0,芝1500m,8/16(土),札幌,牡,14頭,プロウスト,53.0,☆北村友,34.8,10,4R,２歳新馬,12,美浦,高松,482,2008.0
20080101010412,2,0,芝1500m,8/16(土),札幌,牡,14頭,テイクフライト,54.0,松田,19.3,6,4R,２歳新馬,13,栗東,大久龍,514,2008.0
20080101010413,2,0,芝1500m,8/16(土),札幌,牡,14頭,ピエナマックス,54.0,大野,61.7,12,4R,２歳新馬,14,栗東,谷,536,2008.0
20080101010500,3,+4,ダ1700m,8/16(土),札幌,牡,12頭,ニシノシャア,56.0,武幸,12.1,5,5R,３歳未勝利,1,栗東,田所秀,490,2008.0
20080101010501,3,-2,ダ1700m,8/16(土),札幌,牡,12頭,エナージバイオ,53.0,▲丸田,15.5,7,5R,３歳未勝利,2,栗東,梅田智,462,2008.0
20080101010502,3,-2,ダ1700m,8/16(土),札幌,牡,12頭,ヨシクリスエス,56.0,菊沢,35.4,9,5R,３歳未勝利,3,美浦,嶋田潤,476,2008.0
20080101010503,3,-10,ダ1700m,8/16(土),札幌,牝,12頭,アドマイヤジョイ,53.0,☆的場,3.5,1,5R,３歳未勝利,4,美浦,的場,468,2008.0
20080101010504,3,+8,ダ1700m,8/16(土),札幌,牡,12頭,ヴォイジャー,56.0,津村,3.7,2,5R,３歳未勝利,5,美浦,岩戸,496,2008.0
20080101010505,3,-6,ダ1700m,8/16(土),札幌,牡,12頭,ツルギライジング,56.0,郷原,106.5,12,5R,３歳未勝利,6,美浦,郷原,502,2008.0
20080101010506,3,-16,ダ1700m,8/16(土),札幌,牡,12頭,ビクターズレイ,56.0,安藤勝,3.7,3,5R,３歳未勝利,7,栗東,松田博,520,2008.0
20080101010507,3,+8,ダ1700m,8/16(土),札幌,牡,12頭,ドーンオンザケープ,54.0,△三浦,22.9,8,5R,３歳未勝利,8,栗東,池江郎,532,2008.0
20080101010508,3,+4,ダ1700m,8/16(土),札幌,牝,12頭,タペストリー,54.0,古川,15.1,6,5R,３歳未勝利,9,栗東,中竹,446,2008.0
20080101010509,3,-22,ダ1700m,8/16(土),札幌,牡,12頭,シルクアステール,56.0,梶,95.2,11,5R,３歳未勝利,10,美浦,境征,484,2008.0
20080101010510,3,-8,ダ1700m,8/16(土),札幌,牝,12頭,プリティアリエル,54.0,池添,50.6,10,5R,３歳未勝利,11,栗東,池添,428,2008.0
20080101010511,3,+2,ダ1700m,8/16(土),札幌,牝,12頭,ディアプリマ,54.0,藤田,9.6,4,5R,３歳未勝利,12,栗東,清水出,482,2008.0
20080101010600,3,-6,芝2000m,8/16(土),札幌,牡,16頭,シングルショット,56.0,藤田,2.8,1,6R,３歳未勝利,1,栗東,五十嵐,500,2008.0
20080101010601,3,+4,芝2000m,8/16(土),札幌,牡,16頭,フェイバリットサン,56.0,柴原,25.3,8,6R,３歳未勝利,2,栗東,新川,488,2008.0
20080101010602,3,-20,芝2000m,8/16(土),札幌,セ,16頭,ラヴォランテ,56.0,四位,27.0,10,6R,３歳未勝利,3,美浦,後藤,438,2008.0
20080101010603,3,-4,芝2000m,8/16(土),札幌,牡,16頭,ブルーアンビシャス,56.0,長谷川,5.7,2,6R,３歳未勝利,4,栗東,中村,488,2008.0
20080101010604,3,+6,芝2000m,8/16(土),札幌,牡,16頭,ゴールドバルザック,56.0,秋山,48.9,12,6R,３歳未勝利,5,栗東,松永幹,500,2008.0
20080101010605,3,0,芝2000m,8/16(土),札幌,牡,16頭,スズカコング,56.0,安藤勝,6.0,3,6R,３歳未勝利,6,栗東,橋田,454,2008.0
20080101010606,3,+8,芝2000m,8/16(土),札幌,牡,16頭,ダンツエスエスティ,56.0,小林徹,16.4,7,6R,３歳未勝利,7,栗東,中村,456,2008.0
20080101010607,3,0,芝2000m,8/16(土),札幌,牡,16頭,コスモテンロウ,54.0,△三浦,7.3,4,6R,３歳未勝利,8,栗東,鮫島,532,2008.0
20080101010608,3,+2,芝2000m,8/16(土),札幌,牡,16頭,ホークウィンザー,56.0,横山典,11.3,5,6R,３歳未勝利,9,栗東,梅田智,438,2008.0
20080101010609,3,+2,芝2000m,8/16(土),札幌,牡,16頭,サクレクール,53.0,▲丸田,29.3,11,6R,３歳未勝利,10,美浦,小島茂,426,2008.0
20080101010610,3,+10,芝2000m,8/16(土),札幌,牡,16頭,オリエンス,56.0,芹沢,26.1,9,6R,３歳未勝利,11,栗東,新川,498,2008.0
20080101010611,3,+2,芝2000m,8/16(土),札幌,牡,16頭,オーログランデ,56.0,武幸,15.8,6,6R,３歳未勝利,12,栗東,池江郎,458,2008.0
20080101010612,3,-10,芝2000m,8/16(土),札幌,牡,16頭,ニイニイ,53.0,▲荻野琢,95.0,14,6R,３歳未勝利,13,栗東,須貝彦,456,2008.0
20080101010613,3,+10,芝2000m,8/16(土),札幌,牡,16頭,マイネルゼニット,56.0,大野,89.9,13,6R,３歳未勝利,14,美浦,伊藤伸,488,2008.0
20080101010614,3,+2,芝2000m,8/16(土),札幌,牝,16頭,プリムヴェール,54.0,松田,166.4,16,6R,３歳未勝利,15,栗東,田中章,436,2008.0
20080101010615,3,-4,芝2000m,8/16(土),札幌,牝,16頭,パレスバニヤン,54.0,菊沢,123.7,15,6R,３歳未勝利,16,美浦,二ノ宮,454,2008.0
20080101010700,4,+2,ダ2400m,8/16(土),札幌,牡,12頭,ティンバーセブン,55.0,△三浦,3.3,2,7R,３歳上５００万下,1,美浦,小島茂,530,2008.0
20080101010701,4,+2,ダ2400m,8/16(土),札幌,牡,12頭,マイネルアーバニタ,57.0,大野,13.9,5,7R,３歳上５００万下,2,美浦,佐藤吉,460,2008.0
20080101010702,3,-4,ダ2400m,8/16(土),札幌,牡,12頭,ドリームトラベラー,54.0,安藤勝,2.7,1,7R,３歳上５００万下,3,栗東,田中章,486,2008.0
20080101010703,4,+2,ダ2400m,8/16(土),札幌,牡,12頭,トップモンジュー,56.0,横山典,8.9,4,7R,３歳上５００万下,4,栗東,森,430,2008.0
20080101010704,6,-2,ダ2400m,8/16(土),札幌,牡,12頭,クリスタルバッハ,57.0,菊沢,82.0,11,7R,３歳上５００万下,5,美浦,高松,476,2008.0
20080101010705,4,+8,ダ2400m,8/16(土),札幌,牡,12頭,エドノエスポワール,54.0,丸田恭,63.9,10,7R,３歳上５００万下,6,美浦,高橋義,484,2008.0
20080101010706,4,+30,ダ2400m,8/16(土),札幌,牝,12頭,オッティマルーチェ,55.0,藤田,26.1,7,7R,３歳上５００万下,7,美浦,畠山吉,492,2008.0
20080101010707,5,-4,ダ2400m,8/16(土),札幌,牡,12頭,パワーコレクター,57.0,津村,17.7,6,7R,３歳上５００万下,8,美浦,萩原,514,2008.0
20080101010708,4,-8,ダ2400m,8/16(土),札幌,セ,12頭,サンアスレチック,56.0,☆的場,4.7,3,7R,３歳上５００万下,9,美浦,小島茂,482,2008.0
20080101010709,4,-4,ダ2400m,8/16(土),札幌,セ,12頭,サクラハーレー,57.0,武幸,55.9,9,7R,３歳上５００万下,10,美浦,伊藤圭,492,2008.0
20080101010710,3,-2,ダ2400m,8/16(土),札幌,牡,12頭,ヒロノバイオ,53.0,☆北村友,112.3,12,7R,３歳上５００万下,11,美浦,境征,492,2008.0
20080101010711,3,-2,ダ2400m,8/16(土),札幌,牡,12頭,ティグフォルテ,54.0,千田,29.1,8,7R,３歳上５００万下,12,栗東,藤原英,478,2008.0
20080101010800,3,+14,ダ1700m,8/16(土),札幌,牝,13頭,ココシュニック,52.0,四位,3.2,1,8R,３歳上５００万下,1,栗東,松田国,502,2008.0
20080101010801,4,-2,ダ1700m,8/16(土),札幌,牝,13頭,イノチノアカリ,55.0,武幸,4.8,2,8R,３歳上５００万下,2,栗東,武邦,442,2008.0
20080101010802,4,0,ダ1700m,8/16(土),札幌,牝,13頭,コパノタイマネ,54.0,☆的場,5.4,4,8R,３歳上５００万下,3,栗東,崎山,492,2008.0
20080101010803,3,+2,ダ1700m,8/16(土),札幌,牝,13頭,ブリズデロートンヌ,52.0,菊沢,14.0,6,8R,３歳上５００万下,4,美浦,鈴木康,446,2008.0
20080101010804,3,-8,ダ1700m,8/16(土),札幌,牝,13頭,マルサンサイレンス,49.0,▲丸田,46.4,11,8R,３歳上５００万下,5,美浦,谷原,452,2008.0
20080101010805,4,+12,ダ1700m,8/16(土),札幌,牝,13頭,タガノレイヤード,54.0,☆北村友,12.3,5,8R,３歳上５００万下,6,栗東,松田博,488,2008.0
20080101010806,3,+10,ダ1700m,8/16(土),札幌,牝,13頭,オークヒルズ,50.0,△三浦,5.4,3,8R,３歳上５００万下,7,栗東,池江郎,450,2008.0
20080101010807,4,+2,ダ1700m,8/16(土),札幌,牝,13頭,ボルガ,52.0,▲荻野琢,114.5,12,8R,３歳上５００万下,8,美浦,伊藤伸,478,2008.0
20080101010808,4,+4,ダ1700m,8/16(土),札幌,牝,13頭,ベルテッセン,55.0,長谷川,36.0,10,8R,３歳上５００万下,9,栗東,西浦,436,2008.0
20080101010809,5,+2,ダ1700m,8/16(土),札幌,牝,13頭,スズカゲラン,55.0,河北,29.3,9,8R,３歳上５００万下,10,栗東,小野,466,2008.0
20080101010810,4,-6,ダ1700m,8/16(土),札幌,牝,13頭,フィフスアベニュー,55.0,小林徹,14.3,7,8R,３歳上５００万下,11,栗東,清水出,500,2008.0
20080101010811,3,+22,ダ1700m,8/16(土),札幌,牝,13頭,ディーズテンダー,52.0,横山典,21.3,8,8R,３歳上５００万下,12,美浦,大江原,474,2008.0
20080101010812,3,-6,ダ1700m,8/16(土),札幌,牝,13頭,キャトルキャール,52.0,秋山,,,8R,３歳上５００万下,除外,栗東,中村,418,2008.0
20080101010900,4,-8,芝1200m,8/16(土),札幌,牡,16頭,ビービーガルダン,57.0,安藤勝,2.5,1,9R,札幌日刊スポーツ杯,1,栗東,領家,496,2008.0
20080101010901,6,-8,芝1200m,8/16(土),札幌,牡,16頭,エネルマオー,57.0,池添,18.8,9,9R,札幌日刊スポーツ杯,2,栗東,宮本,460,2008.0
20080101010902,5,+2,芝1200m,8/16(土),札幌,牡,16頭,バルバレスコ,57.0,大野,165.5,16,9R,札幌日刊スポーツ杯,3,美浦,中野栄,470,2008.0
20080101010903,4,-4,芝1200m,8/16(土),札幌,牝,16頭,ショウナンアクト,55.0,四位,8.4,3,9R,札幌日刊スポーツ杯,4,栗東,岡田,484,2008.0
20080101010904,6,+6,芝1200m,8/16(土),札幌,牡,16頭,エアニックス,57.0,藤田,8.8,4,9R,札幌日刊スポーツ杯,5,栗東,梅田智,478,2008.0
20080101010905,6,+24,芝1200m,8/16(土),札幌,牡,16頭,オーヴェール,57.0,長谷川,150.9,15,9R,札幌日刊スポーツ杯,6,栗東,浅見,556,2008.0
20080101010906,5,+4,芝1200m,8/16(土),札幌,牡,16頭,ゲイル,57.0,秋山,14.7,7,9R,札幌日刊スポーツ杯,7,栗東,音無,474,2008.0
20080101010907,3,-4,芝1200m,8/16(土),札幌,牝,16頭,メイビリーヴ,52.0,横山典,6.3,2,9R,札幌日刊スポーツ杯,8,美浦,松山康,486,2008.0
20080101010908,5,+4,芝1200m,8/16(土),札幌,牡,16頭,シルクドラグーン,57.0,武英,74.3,14,9R,札幌日刊スポーツ杯,9,栗東,山内,476,2008.0
20080101010909,7,-2,芝1200m,8/16(土),札幌,牡,16頭,サクラプログレス,57.0,武幸,13.4,6,9R,札幌日刊スポーツ杯,10,美浦,小島太,504,2008.0
20080101010910,6,+10,芝1200m,8/16(土),札幌,牡,16頭,コスモラヴアゲイン,57.0,三浦,60.7,13,9R,札幌日刊スポーツ杯,11,栗東,佐々晶,492,2008.0
20080101010911,8,-8,芝1200m,8/16(土),札幌,牡,16頭,コレデイイノダ,57.0,竹之下,41.6,11,9R,札幌日刊スポーツ杯,12,栗東,藤沢則,466,2008.0
20080101010912,5,-12,芝1200m,8/16(土),札幌,牡,16頭,ダンディーズケア,57.0,津村,31.1,10,9R,札幌日刊スポーツ杯,13,美浦,二ノ宮,448,2008.0
20080101010913,6,-14,芝1200m,8/16(土),札幌,牝,16頭,レヴリ,55.0,松田,17.3,8,9R,札幌日刊スポーツ杯,14,美浦,大江原,430,2008.0
20080101010914,5,0,芝1200m,8/16(土),札幌,牝,16頭,スーパーマルトク,55.0,荻野琢,10.9,5,9R,札幌日刊スポーツ杯,15,栗東,吉田,434,2008.0
20080101010915,5,-10,芝1200m,8/16(土),札幌,牝,16頭,マリンフェスタ,55.0,芹沢,49.2,12,9R,札幌日刊スポーツ杯,16,栗東,矢作,472,2008.0
20080101011000,4,+18,芝2600m,8/16(土),札幌,牡,11頭,スクリーンヒーロー,56.0,横山典,2.5,1,10R,支笏湖特別,1,美浦,鹿戸雄,484,2008.0
20080101011001,4,+2,芝2600m,8/16(土),札幌,セ,11頭,ビービーファルコン,55.0,古川,4.4,3,10R,支笏湖特別,2,美浦,古賀慎,446,2008.0
20080101011002,4,+18,芝2600m,8/16(土),札幌,牡,11頭,ピエナグッドラック,55.0,藤田,4.1,2,10R,支笏湖特別,3,栗東,谷,478,2008.0
20080101011003,7,-10,芝2600m,8/16(土),札幌,牡,11頭,エプソムアルテマ,52.0,津村,25.1,7,10R,支笏湖特別,4,美浦,中野栄,476,2008.0
20080101011004,6,-4,芝2600m,8/16(土),札幌,牡,11頭,エターナルスマイル,55.0,伊藤直,11.1,4,10R,支笏湖特別,5,美浦,斎藤誠,506,2008.0
20080101011005,5,-8,芝2600m,8/16(土),札幌,牝,11頭,サダムアカイカゼ,52.0,北村友,38.8,10,10R,支笏湖特別,6,栗東,鮫島,436,2008.0
20080101011006,7,0,芝2600m,8/16(土),札幌,牡,11頭,マスラタケヲ,53.0,丸田,33.1,8,10R,支笏湖特別,7,美浦,浅野,456,2008.0
20080101011007,5,-6,芝2600m,8/16(土),札幌,牡,11頭,ビクトリーフラッグ,54.0,松田,17.5,6,10R,支笏湖特別,8,栗東,松元,452,2008.0
20080101011008,9,-12,芝2600m,8/16(土),札幌,セ,11頭,シンボリユタカオー,53.0,的場,11.3,5,10R,支笏湖特別,9,美浦,高橋祥,454,2008.0
20080101011009,6,+4,芝2600m,8/16(土),札幌,牡,11頭,ハイタイド,51.0,竹之下,54.1,11,10R,支笏湖特別,10,栗東,武邦,494,2008.0
20080101011010,6,-14,芝2600m,8/16(土),札幌,牡,11頭,タイキスピリッツ,54.0,青木,33.5,9,10R,支笏湖特別,11,美浦,藤沢和,486,2008.0
20080101011100,5,-10,ダ1700m,8/16(土),札幌,牡,13頭,ブルーレパード,57.0,安藤勝,3.9,1,11R,白鳥大橋特別,1,栗東,小崎,480,2008.0
20080101011101,6,0,ダ1700m,8/16(土),札幌,牡,13頭,トウショウアタック,57.0,松田,47.6,8,11R,白鳥大橋特別,2,美浦,保田,472,2008.0
20080101011102,5,+2,ダ1700m,8/16(土),札幌,牝,13頭,マドンナブラボー,55.0,柴原,85.3,13,11R,白鳥大橋特別,3,栗東,新川,466,2008.0
20080101011103,5,+4,ダ1700m,8/16(土),札幌,牡,13頭,ウォータークルーズ,57.0,古川,57.2,11,11R,白鳥大橋特別,4,栗東,田所秀,464,2008.0
20080101011104,6,+2,ダ1700m,8/16(土),札幌,牡,13頭,ストームタイガー,57.0,池添,4.9,2,11R,白鳥大橋特別,5,美浦,田村,468,2008.0
20080101011105,7,-6,ダ1700m,8/16(土),札幌,牡,13頭,マルブツブラボー,57.0,秋山,16.2,7,11R,白鳥大橋特別,6,栗東,加用,432,2008.0
20080101011106,5,+12,ダ1700m,8/16(土),札幌,牡,13頭,オーキッドコート,57.0,小林徹,51.7,9,11R,白鳥大橋特別,7,栗東,目野,466,2008.0
20080101011107,7,-20,ダ1700m,8/16(土),札幌,牡,13頭,エプソムボス,57.0,大野,53.9,10,11R,白鳥大橋特別,8,美浦,石栗,514,2008.0
20080101011108,5,-6,ダ1700m,8/16(土),札幌,牡,13頭,ヘイアンルモンド,57.0,四位,5.5,4,11R,白鳥大橋特別,9,美浦,松山康,512,2008.0
20080101011109,5,-2,ダ1700m,8/16(土),札幌,牡,13頭,ランキング,57.0,藤田,4.9,3,11R,白鳥大橋特別,10,美浦,嶋田功,480,2008.0
20080101011110,6,-8,ダ1700m,8/16(土),札幌,セ,13頭,アウトオブサイト,57.0,長谷川,65.1,12,11R,白鳥大橋特別,11,栗東,北出,456,2008.0
20080101011111,5,-12,ダ1700m,8/16(土),札幌,牡,13頭,フェラーリセブン,57.0,三浦,11.7,6,11R,白鳥大橋特別,12,美浦,藤沢和,474,2008.0
20080101011112,4,-4,ダ1700m,8/16(土),札幌,牝,13頭,ヤマビコ,55.0,横山典,6.4,5,11R,白鳥大橋特別,中止,美浦,小桧山,504,2008.0
20080101011200,4,-8,芝2000m,8/16(土),札幌,牝,15頭,ステイトリーデイズ,53.0,△三浦,6.8,4,12R,３歳上５００万下,1,栗東,加用,456,2008.0
20080101011201,3,-4,芝2000m,8/16(土),札幌,牡,15頭,ナムラチェンジ,54.0,小林徹,14.2,6,12R,３歳上５００万下,2,栗東,目野,462,2008.0
20080101011202,5,+2,芝2000m,8/16(土),札幌,牝,15頭,ホーリーミスト,55.0,大野,38.8,12,12R,３歳上５００万下,3,美浦,後藤,446,2008.0
20080101011203,5,+6,芝2000m,8/16(土),札幌,牝,15頭,ギーニョ,55.0,秋山,4.7,2,12R,３歳上５００万下,4,栗東,池江郎,488,2008.0
20080101011204,4,+10,芝2000m,8/16(土),札幌,牡,15頭,フミノパッション,57.0,長谷川,3.9,1,12R,３歳上５００万下,5,栗東,西浦,498,2008.0
20080101011205,4,+4,芝2000m,8/16(土),札幌,牝,15頭,ニシノフェリーチェ,55.0,武幸,21.9,10,12R,３歳上５００万下,6,栗東,浅見,428,2008.0
20080101011206,4,-4,芝2000m,8/16(土),札幌,牡,15頭,リバイバルシチー,57.0,松田大,6.4,3,12R,３歳上５００万下,7,美浦,松山将,488,2008.0
20080101011207,4,-2,芝2000m,8/16(土),札幌,牡,15頭,キングオブロマネ,57.0,郷原,65.7,13,12R,３歳上５００万下,8,美浦,本郷,488,2008.0
20080101011208,3,+4,芝2000m,8/16(土),札幌,牡,15頭,マーベラスブレイド,54.0,池添,17.3,8,12R,３歳上５００万下,9,栗東,河内,454,2008.0
20080101011209,4,+6,芝2000m,8/16(土),札幌,牝,15頭,ビターオレンジ,55.0,四位,9.2,5,12R,３歳上５００万下,10,美浦,萩原,454,2008.0
20080101011210,3,+18,芝2000m,8/16(土),札幌,牝,15頭,コスモザガリア,51.0,☆的場,18.6,9,12R,３歳上５００万下,11,美浦,水野,504,2008.0
20080101011211,3,+4,芝2000m,8/16(土),札幌,牝,15頭,レディービスティー,52.0,藤田,15.7,7,12R,３歳上５００万下,12,栗東,藤原英,458,2008.0
20080101011212,4,-2,芝2000m,8/16(土),札幌,牡,15頭,ロンシャンステージ,56.0,☆北村友,113.0,14,12R,３歳上５００万下,13,美浦,二本柳,456,2008.0
20080101011213,4,0,芝2000m,8/16(土),札幌,牝,15頭,チューイングサイン,52.0,▲丸田,34.2,11,12R,３歳上５００万下,14,美浦,中川,450,2008.0
20080101011214,4,-2,芝2000m,8/16(土),札幌,牡,15頭,シルクレグナム,57.0,武英,149.2,15,12R,３歳上５００万下,15,栗東,山内,466,2008.0
20080101020100,3,-6,ダ1000m,8/17(日),札幌,牝,12頭,グレイスサンセット,54.0,横山典,1.8,1,1R,３歳未勝利,1,美浦,加藤和,482,2008.0
